customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
1,22,59000,RENT,123,PERSONAL,C,"£35,000.00",16.02,10,Y,3,DEFAULT
2,21,9600,OWN,5,EDUCATION,A,"£1,000.00",11.14,1,,2,NO DEFAULT
3,25,9600,MORTGAGE,1,MEDICAL,B,"£5,500.00",12.87,5,N,3,DEFAULT
4,23,65500,RENT,4,MEDICAL,B,"£35,000.00",15.23,10,N,2,DEFAULT
5,24,54400,RENT,8,MEDICAL,B,"£35,000.00",14.27,10,Y,4,DEFAULT
6,21,9900,OWN,2,VENTURE,A,"£2,500.00",7.14,1,N,2,DEFAULT
7,26,77100,RENT,8,EDUCATION,A,"£35,000.00",12.42,10,,3,NO DEFAULT
8,24,78956,RENT,5,MEDICAL,A,"£35,000.00",11.11,10,,4,NO DEFAULT
9,24,83000,RENT,8,PERSONAL,A,"£35,000.00",8.9,10,,2,NO DEFAULT
10,21,10000,OWN,6,VENTURE,C,"£1,600.00",14.74,1,N,3,DEFAULT
11,22,85000,RENT,6,VENTURE,A,"£35,000.00",10.37,10,,4,NO DEFAULT
12,21,10000,OWN,2,HOMEIMPROVEMENT,A,"£4,500.00",8.63,1,N,2,DEFAULT
13,23,95000,RENT,2,VENTURE,A,"£35,000.00",7.9,10,,2,NO DEFAULT
14,26,108160,RENT,4,EDUCATION,D,"£35,000.00",18.39,10,N,4,DEFAULT
15,23,115000,RENT,2,EDUCATION,A,"£35,000.00",7.9,10,,4,NO DEFAULT
16,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,A,"£30,000.00",10.65,10,,3,NO DEFAULT
17,23,120000,RENT,0,EDUCATION,A,"£35,000.00",7.9,10,,4,NO DEFAULT
18,23,92111,RENT,7,MEDICAL,E,"£35,000.00",20.25,10,N,4,DEFAULT
19,23,113000,RENT,8,DEBTCONSOLIDATION,C,"£35,000.00",18.25,10,N,4,DEFAULT
20,24,10800,MORTGAGE,8,EDUCATION,A,"£1,750.00",10.99,4,N,2,DEFAULT
21,25,162500,RENT,2,VENTURE,A,"£35,000.00",7.49,10,,4,NO DEFAULT
22,25,137000,RENT,9,PERSONAL,D,"£34,800.00",16.77,10,Y,2,NO DEFAULT
23,22,65000,RENT,4,EDUCATION,C,"£34,000.00",17.58,10,N,4,DEFAULT
24,24,10980,OWN,0,PERSONAL,A,"£1,500.00",7.29,4,Y,3,NO DEFAULT
25,22,80000,RENT,3,PERSONAL,C,"£33,950.00",14.54,10,Y,4,DEFAULT
26,24,67746,RENT,8,HOMEIMPROVEMENT,B,"£33,000.00",12.68,10,N,3,DEFAULT
27,21,11000,MORTGAGE,3,VENTURE,D,"£4,575.00",17.74,1,Y,3,DEFAULT
28,23,11000,OWN,0,PERSONAL,A,"£1,400.00",9.32,3,,3,NO DEFAULT
29,24,65000,RENT,6,HOMEIMPROVEMENT,A,"£32,500.00",9.99,10,,3,NO DEFAULT
30,21,11389,OTHER,5,EDUCATION,B,"£4,000.00",12.84,1,Y,2,DEFAULT
31,21,11520,OWN,5,MEDICAL,A,"£2,000.00",11.12,1,N,3,DEFAULT
32,25,120000,RENT,2,VENTURE,A,"£32,000.00",6.62,10,,2,NO DEFAULT
33,26,95000,RENT,7,HOMEIMPROVEMENT,B,"£31,050.00",14.17,10,Y,3,DEFAULT
34,25,306000,RENT,2,DEBTCONSOLIDATION,B,"£24,250.00",13.85,10,,3,NO DEFAULT
35,26,300000,MORTGAGE,10,MEDICAL,B,"£7,800.00",13.49,6,,4,NO DEFAULT
36,21,12000,OWN,5,EDUCATION,A,"£2,500.00",7.51,1,N,4,DEFAULT
37,22,48000,RENT,1,EDUCATION,D,"£30,000.00",18.39,10,N,2,DEFAULT
38,24,64000,RENT,8,DEBTCONSOLIDATION,C,"£30,000.00",14.54,10,Y,3,DEFAULT
39,25,75000,RENT,4,HOMEIMPROVEMENT,C,"£30,000.00",16.89,10,Y,4,DEFAULT
40,23,71500,RENT,3,DEBTCONSOLIDATION,C,"£30,000.00",,10,N,4,DEFAULT
41,26,62050,RENT,6,MEDICAL,D,"£30,000.00",17.99,10,N,2,DEFAULT
42,24,12000,OWN,4,VENTURE,A,"£2,500.00",12.69,4,N,3,DEFAULT
43,26,300000,MORTGAGE,10,VENTURE,A,"£20,000.00",7.88,10,,4,NO DEFAULT
44,23,300000,OWN,1,EDUCATION,E,"£24,250.00",19.41,10,Y,2,NO DEFAULT
45,26,300000,OWN,9,HOMEIMPROVEMENT,A,"£10,000.00",10.38,6,,4,NO DEFAULT
46,26,300000,MORTGAGE,0,EDUCATION,C,"£25,000.00",15.33,10,,3,NO DEFAULT
47,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,D,"£18,000.00",16.45,10,,3,NO DEFAULT
48,26,80690,RENT,8,PERSONAL,A,"£30,000.00",7.49,10,,3,NO DEFAULT
49,22,66300,RENT,4,MEDICAL,A,"£30,000.00",12.69,10,,3,NO DEFAULT
50,26,89028,RENT,0,DEBTCONSOLIDATION,A,"£30,000.00",6.62,10,,3,NO DEFAULT
51,24,78000,RENT,4,DEBTCONSOLIDATION,C,"£30,000.00",,10,Y,4,DEFAULT
52,23,78000,RENT,7,DEBTCONSOLIDATION,E,"£30,000.00",18.62,10,Y,3,DEFAULT
53,23,92004,RENT,6,PERSONAL,B,"£30,000.00",15.23,10,Y,3,DEFAULT
54,23,97000,RENT,7,VENTURE,A,"£30,000.00",10.65,10,Y,2,NO DEFAULT
55,25,120000,RENT,9,EDUCATION,A,"£30,000.00",7.9,10,,4,NO DEFAULT
56,26,280000,RENT,4,PERSONAL,B,"£10,000.00",15.96,6,Y,3,NO DEFAULT
57,26,277104,RENT,0,VENTURE,A,"£20,000.00",11.48,10,,3,NO DEFAULT
58,23,277000,OWN,3,PERSONAL,A,"£35,000.00",,10,,4,NO DEFAULT
59,25,128000,RENT,9,PERSONAL,A,"£30,000.00",7.29,10,,4,NO DEFAULT
60,24,12000,OWN,2,VENTURE,D,"£1,750.00",,4,Y,3,NO DEFAULT
61,21,131000,RENT,0,VENTURE,A,"£30,000.00",5.99,10,,4,NO DEFAULT
62,22,275000,OWN,6,VENTURE,A,"£12,000.00",11.58,10,,2,NO DEFAULT
63,26,263000,MORTGAGE,0,EDUCATION,A,"£10,000.00",,6,N,4,DEFAULT
64,25,221850,MORTGAGE,9,MEDICAL,C,"£25,000.00",15.7,10,N,2,DEFAULT
65,22,70000,RENT,6,EDUCATION,C,"£29,100.00",15.99,10,N,3,DEFAULT
66,22,12000,MORTGAGE,7,EDUCATION,C,"£1,500.00",14.84,2,Y,3,NO DEFAULT
67,26,260000,OWN,10,HOMEIMPROVEMENT,A,"£28,000.00",10.99,10,,3,NO DEFAULT
68,25,259000,MORTGAGE,9,HOMEIMPROVEMENT,C,"£20,000.00",14.42,10,Y,2,NO DEFAULT
69,24,255000,MORTGAGE,9,EDUCATION,A,"£9,600.00",6.99,4,,2,NO DEFAULT
