Comunidade,Município,Estado,Índice de Desmatamento (%),Acesso à Água Potável (%),Cobertura Vegetal (%),Renda Média Mensal (R$),Densidade Populacional (hab/km²),Frequência de Queimadas (ano),Distância de Área Urbana (km),Presença de Escola (Sim/Não),Presença de Unidade de Saúde (Sim/Não)
Comunidade 1,SÃO DOMINGOS DO CAPIM,Pará,25.6,86.5,22.9,2863.0,123.2,0,74.7,Sim,Não
Comunidade 2,SALINÓPOLIS,Pará,12.9,99.3,21.8,799.0,120.3,11,87.3,Sim,Não
Comunidade 3,TRACUATEUA,Pará,81.3,58.9,64.5,1924.0,104.8,5,43.9,Não,Sim
Comunidade 4,SÃO MIGUEL DO GUAMÁ,Pará,81.5,56.0,25.5,1715.0,42.3,0,5.3,Sim,Sim
Comunidade 5,MAGALHÃES BARATA,Pará,58.8,84.3,39.4,1990.0,89.4,9,17.0,Sim,Sim
Comunidade 6,PALESTINA DO PARÁ,Pará,33.8,53.9,86.2,447.0,55.4,5,3.1,Sim,Sim
Comunidade 7,SÃO DOMINGOS DO CAPIM,Pará,34.7,95.2,50.3,2668.0,15.6,0,65.7,Sim,Não
Comunidade 8,CURIONÓPOLIS,Pará,66.7,90.1,66.7,2824.0,137.8,5,33.9,Sim,Não
Comunidade 9,MARAPANIM,Pará,81.3,60.0,24.6,1869.0,22.2,9,54.7,Não,Não
Comunidade 10,PONTA DE PEDRAS,Pará,80.4,82.6,26.3,2211.0,142.6,7,49.8,Não,Não
Comunidade 11,XINGUARA,Pará,71.3,82.8,13.5,2798.0,68.0,10,9.1,Sim,Sim
Comunidade 12,SANTARÉM NOVO,Pará,59.6,37.2,24.4,2239.0,29.4,1,40.9,Sim,Não
Comunidade 13,SÃO FÉLIX DO XINGU,Pará,12.2,93.2,33.7,797.0,82.2,1,22.8,Não,Sim
Comunidade 14,SANTA MARIA DAS BARREIRAS,Pará,18.7,65.4,25.0,1898.0,131.2,11,42.4,Não,Sim
Comunidade 15,CAPANEMA,Pará,81.4,87.9,17.5,1977.0,110.4,3,21.2,Sim,Sim
Comunidade 16,BANNACH,Pará,56.5,52.4,20.3,1503.0,121.4,10,84.2,Sim,Sim
Comunidade 17,PONTA DE PEDRAS,Pará,5.8,92.7,49.2,2315.0,99.5,2,18.2,Não,Sim
Comunidade 18,ANAJÁS,Pará,13.6,57.2,27.5,2829.0,104.5,3,96.1,Sim,Não
Comunidade 19,RURÓPOLIS,Pará,61.4,30.8,41.0,2806.0,127.7,11,42.2,Não,Sim
Comunidade 20,PALESTINA DO PARÁ,Pará,5.4,93.4,52.8,1572.0,39.0,6,84.8,Sim,Sim
Comunidade 21,CONCEIÇÃO DO ARAGUAIA,Pará,18.7,36.4,68.7,694.0,74.4,10,63.2,Sim,Sim
Comunidade 22,SÃO DOMINGOS DO ARAGUAIA,Pará,51.6,52.4,13.3,2961.0,34.7,0,73.8,Não,Não
Comunidade 23,PORTEL,Pará,63.8,96.5,77.9,2581.0,148.2,5,77.0,Sim,Sim
Comunidade 24,BREVES,Pará,60.4,96.5,63.4,724.0,141.7,2,51.0,Sim,Não
Comunidade 25,CURRALINHO,Pará,24.1,70.1,16.9,2794.0,7.8,10,54.8,Sim,Sim
Comunidade 26,TRACUATEUA,Pará,65.5,74.2,84.3,2662.0,106.4,9,51.9,Sim,Não
Comunidade 27,CACHOEIRA DO ARARI,Pará,25.2,61.4,88.3,1749.0,138.9,6,59.2,Sim,Sim
Comunidade 28,SÃO SEBASTIÃO DA BOA VISTA,Pará,32.7,50.5,15.2,1937.0,28.7,9,3.9,Sim,Não
Comunidade 29,CASTANHAL,Pará,68.5,53.0,33.5,1437.0,86.1,1,40.2,Sim,Não
Comunidade 30,IGARAPÉ-MIRI,Pará,60.2,77.1,78.5,542.0,137.5,1,61.0,Não,Sim
Comunidade 31,SANTA MARIA DAS BARREIRAS,Pará,77.2,82.7,73.6,1272.0,7.0,3,60.2,Sim,Sim
Comunidade 32,CACHOEIRA DO ARARI,Pará,60.9,85.4,25.7,2487.0,105.2,0,79.5,Sim,Sim
Comunidade 33,BREU BRANCO,Pará,53.3,85.3,27.8,412.0,46.0,2,65.8,Sim,Sim
Comunidade 34,PALESTINA DO PARÁ,Pará,13.0,36.4,41.5,1267.0,138.8,8,99.2,Não,Sim
Comunidade 35,MARABÁ,Pará,36.3,64.6,51.2,1435.0,145.7,6,29.1,Não,Não
Comunidade 36,TERRA ALTA,Pará,27.5,34.0,62.6,1797.0,141.8,6,36.6,Sim,Sim
Comunidade 37,SÃO GERALDO DO ARAGUAIA,Pará,25.7,68.5,41.4,2792.0,72.2,10,39.0,Sim,Sim
Comunidade 38,PORTEL,Pará,87.7,60.9,49.3,1300.0,129.6,3,47.1,Sim,Sim
Comunidade 39,CURUÇÁ,Pará,38.4,92.1,73.5,1302.0,127.0,1,83.8,Sim,Sim
Comunidade 40,SAPUCAIA,Pará,80.8,54.6,13.1,2318.0,49.2,3,24.3,Não,Não
Comunidade 41,NOVA IPIXUNA,Pará,58.6,38.2,31.5,1576.0,124.7,5,77.8,Sim,Sim
Comunidade 42,PORTO DE MOZ,Pará,72.6,40.0,70.6,984.0,7.5,10,41.1,Não,Não
Comunidade 43,CAPANEMA,Pará,47.7,83.3,86.1,1576.0,90.2,10,60.6,Não,Não
Comunidade 44,RURÓPOLIS,Pará,54.0,73.3,53.5,766.0,36.0,2,63.6,Sim,Não
Comunidade 45,ORIXIMINÁ,Pará,46.9,37.1,55.2,859.0,19.8,0,37.9,Sim,Não
Comunidade 46,PRIMAVERA,Pará,21.6,35.9,19.1,1696.0,13.4,11,51.7,Sim,Sim
Comunidade 47,TOMÉ-AÇU,Pará,66.4,79.1,48.0,1489.0,105.1,7,41.9,Sim,Não
Comunidade 48,MARITUBA,Pará,28.9,35.1,55.3,2779.0,52.3,11,7.8,Não,Sim
Comunidade 49,ALENQUER,Pará,7.1,87.5,30.6,1342.0,109.3,4,44.3,Sim,Sim
Comunidade 50,NOVA TIMBOTEUA,Pará,59.9,79.4,32.9,1910.0,11.7,4,10.6,Sim,Não
Comunidade 51,BUJARU,Pará,20.1,35.7,42.1,2044.0,48.7,10,41.1,Sim,Não
Comunidade 52,SÃO FÉLIX DO XINGU,Pará,84.9,35.9,11.7,434.0,81.8,3,59.7,Sim,Não
Comunidade 53,SÃO GERALDO DO ARAGUAIA,Pará,86.1,99.1,37.4,2125.0,119.0,5,58.4,Sim,Sim
Comunidade 54,BANNACH,Pará,82.8,56.2,28.0,863.0,49.2,2,66.6,Sim,Sim
Comunidade 55,ULIANÓPOLIS,Pará,36.5,55.9,37.8,2899.0,94.6,8,10.4,Sim,Não
Comunidade 56,CAPITÃO POÇO,Pará,6.3,86.9,20.2,787.0,133.1,4,65.6,Sim,Sim
Comunidade 57,SÃO JOÃO DO ARAGUAIA,Pará,83.9,96.3,85.7,1478.0,93.1,2,31.9,Sim,Não
