Município,Índice de Desmatamento (%),Cobertura Vegetal (%),Acesso à Água Potável (%),Renda Média Mensal (R$),Densidade Populacional (hab/km²),Frequência de Queimadas (ano),Distância de Área Urbana (km),Cluster
ACARÁ,58.15,43.25,85.55000000000001,1805.0,9.899999999999999,9.0,39.75,1
ALENQUER,29.1,32.2,68.6,1180.5,68.0,7.5,42.3,0
ALMEIRIM,32.5,78.8,87.6,1289.0,114.2,8.0,24.2,4
ALTAMIRA,54.2,89.0,70.9,2480.0,141.8,8.0,11.2,4
ANAJÁS,25.8,25.2,68.25,1722.0,114.35,5.0,86.15,0
ANANINDEUA,48.25,51.5,43.15,2020.5,109.85,5.0,42.5,2
ANAPU,7.6,37.5,61.9,2278.0,141.5,4.0,2.7,2
AUGUSTO CORRÊA,31.9,73.4,93.4,2735.0,120.2,0.0,24.2,4
AVEIRO,43.1,39.0,36.75,1416.5,76.9,6.0,57.050000000000004,3
BAGRE,61.05,39.6,98.4,1419.0,85.0,5.0,54.45,1
BANNACH,62.36666666666667,22.733333333333334,58.333333333333336,1442.3333333333333,92.46666666666665,7.333333333333333,69.2,3
BARCARENA,56.6,74.6,48.4,1235.0,76.0,10.0,40.85,2
BELTERRA,20.9,52.95,85.9,1799.0,128.14999999999998,6.5,67.5,0
BELÉM,88.0,69.45,83.0,1521.5,114.55,9.5,30.950000000000003,4
BRAGANÇA,37.3,40.1,65.44999999999999,1400.5,72.05,2.0,29.549999999999997,3
BRASIL NOVO,74.9,53.1,49.4,2559.0,91.9,1.0,97.3,3
BREU BRANCO,59.0,60.1,91.6,441.0,40.15,5.0,44.849999999999994,0
BREVES,60.4,63.4,96.5,724.0,141.7,2.0,51.0,4
BUJARU,20.1,42.1,35.7,2044.0,48.7,10.0,41.1,2
CACHOEIRA DO ARARI,31.666666666666668,51.5,76.86666666666667,1694.0,115.73333333333333,3.6666666666666665,56.1,0
CACHOEIRA DO PIRIÁ,41.4,60.5,99.0,622.0,36.5,10.0,40.5,1
CAMETÁ,36.3,55.23333333333333,79.63333333333334,822.0,117.56666666666666,9.0,79.56666666666666,0
CANAÃ DOS CARAJÁS,27.9,69.85,86.45,1715.5,81.69999999999999,6.5,18.7,1
CAPANEMA,67.125,48.25,58.5,1142.5,112.125,6.25,43.675,4
CAPITÃO POÇO,51.5,50.43333333333334,79.39999999999999,1545.0,81.3,4.0,68.93333333333334,0
CASTANHAL,68.5,33.5,53.0,1437.0,86.1,1.0,40.2,3
CONCEIÇÃO DO ARAGUAIA,18.7,68.7,36.4,694.0,74.4,10.0,63.2,2
CONCÓRDIA DO PARÁ,46.400000000000006,24.5,46.45,1573.0,36.050000000000004,0.0,48.2,3
CUMARU DO NORTE,61.95,38.7,53.849999999999994,1797.5,41.3,1.0,47.95,3
CURIONÓPOLIS,66.7,66.7,90.1,2824.0,137.8,5.0,33.9,4
CURRALINHO,16.3,50.75,83.1,1951.0,10.55,8.0,33.3,1
CURUÇÁ,29.25,58.8,65.55,1416.5,69.5,3.5,50.65,0
DOM ELISEU,51.2,60.95,70.15,1392.5,77.25,9.0,59.55,0
FLORESTA DO ARAGUAIA,79.6,39.4,53.0,595.0,139.9,8.0,38.6,4
GARRAFÃO DO NORTE,29.133333333333336,51.63333333333333,75.39999999999999,1454.6666666666667,43.23333333333333,5.0,32.4,1
GOIANÉSIA DO PARÁ,57.150000000000006,21.35,39.35,2357.5,31.35,3.5,70.19999999999999,3
GURUPÁ,29.325,50.75,53.75,1543.0,86.55,5.25,22.35,2
IGARAPÉ-AÇU,19.7,44.75,88.15,1900.5,27.55,3.5,46.800000000000004,1
IGARAPÉ-MIRI,60.2,78.5,77.1,542.0,137.5,1.0,61.0,4
INHANGAPI,16.9,61.5,82.2,1763.0,115.7,8.0,94.9,0
IRITUIA,7.2,50.1,95.3,2023.0,35.1,7.0,38.1,1
ITUPIRANGA,84.9,86.0,82.9,832.0,131.0,11.0,17.7,4
JACUNDÁ,44.0,31.1,39.5,1038.0,51.6,11.0,54.7,2
JURUTI,10.9,79.8,54.4,1638.0,44.5,5.0,53.1,2
LIMOEIRO DO AJURU,53.8,43.300000000000004,89.1,1414.5,44.6,7.0,31.450000000000003,1
MAGALHÃES BARATA,65.69999999999999,61.5,75.44999999999999,1483.5,116.0,7.5,11.55,4
MARABÁ,36.3,51.2,64.6,1435.0,145.7,6.0,29.1,4
MARAPANIM,71.2,20.15,78.95,2297.5,75.89999999999999,9.0,74.4,3
MARITUBA,28.9,55.3,35.1,2779.0,52.3,11.0,7.8,2
MEDICILÂNDIA,59.6,77.5,58.2,1396.0,113.4,6.0,45.0,4
MOJUÍ DOS CAMPOS,77.1,50.099999999999994,65.9,2281.5,71.2,6.0,51.05,3
NOVA ESPERANÇA DO PIRIÁ,36.4,48.699999999999996,55.8,1972.5,49.3,4.0,21.5,2
NOVA IPIXUNA,63.3,27.25,47.2,1715.5,117.95,6.0,58.2,3
NOVA TIMBOTEUA,56.866666666666674,68.73333333333333,81.23333333333333,1895.3333333333333,58.73333333333333,8.333333333333334,39.733333333333334,1
NOVO PROGRESSO,55.8,41.55,51.099999999999994,1348.0,84.5,4.0,81.15,3
NOVO REPARTIMENTO,27.8,64.2,77.25,1946.0,21.05,6.5,64.1,1
ORIXIMINÁ,49.3,72.5,54.349999999999994,1758.5,76.65,1.5,64.9,3
PACAJÁ,30.450000000000003,47.85,92.7,1781.0,101.85,9.0,77.35,0
PALESTINA DO PARÁ,17.4,60.166666666666664,61.23333333333334,1095.3333333333333,77.73333333333333,6.333333333333333,62.36666666666667,0
PARAGOMINAS,42.3,74.6,72.9,1935.0,122.7,5.0,66.5,4
PARAUAPEBAS,43.1,47.9,73.275,1193.0,69.4,6.25,59.8,0
PEIXE-BOI,18.8,38.5,69.3,2777.0,102.7,5.0,60.1,2
PLACAS,15.0,69.0,62.1,1269.0,144.5,11.0,8.1,2
PONTA DE PEDRAS,50.13333333333333,35.46666666666667,75.10000000000001,1776.6666666666667,93.13333333333333,6.333333333333333,42.96666666666666,1
PORTEL,66.86666666666666,52.46666666666667,76.06666666666666,1809.0,113.86666666666666,2.6666666666666665,50.03333333333333,4
PORTO DE MOZ,45.55,59.5,45.0,1926.75,68.32499999999999,8.75,45.8,2
PRIMAVERA,53.900000000000006,38.95,62.3,1601.0,56.2,6.0,59.35,3
QUATIPURU,62.95,57.55,73.25,1421.0,85.95,0.5,76.15,3
RIO MARIA,38.75,48.55,60.75,1241.5,76.2,1.5,63.85,3
RONDON DO PARÁ,77.7,43.4,89.5,448.0,128.0,1.0,65.4,4
RURÓPOLIS,48.480000000000004,59.96,62.04,2001.4,80.16,7.0,46.8,2
SALINÓPOLIS,13.25,20.6,82.65,1462.5,106.8,10.0,56.349999999999994,0
SANTA CRUZ DO ARARI,30.0,17.4,84.4,574.0,131.5,5.0,60.3,0
SANTA ISABEL DO PARÁ,59.325,39.75,68.825,1530.25,100.125,5.0,60.825,3
SANTA MARIA DAS BARREIRAS,47.5,38.55,78.425,1284.75,54.0,6.25,52.425,1
SANTA MARIA DO PARÁ,82.0,84.5,60.6,1173.0,77.1,3.0,11.8,4
SANTANA DO ARAGUAIA,85.0,12.9,54.5,1151.0,25.8,10.0,84.9,3
SANTARÉM,33.3,44.349999999999994,78.8,770.5,83.4,8.0,62.349999999999994,0
SANTARÉM NOVO,59.6,24.4,37.2,2239.0,29.4,1.0,40.9,3
SANTO ANTÔNIO DO TAUÁ,44.2,59.0,67.2,707.5,134.35,2.5,56.9,4
SAPUCAIA,79.15,32.75,45.2,2133.0,27.150000000000002,7.0,41.8,3
SÃO DOMINGOS DO ARAGUAIA,51.6,13.3,52.4,2961.0,34.7,0.0,73.8,3
SÃO DOMINGOS DO CAPIM,41.325,45.75,81.225,2383.75,73.025,1.75,74.525,3
SÃO FÉLIX DO XINGU,53.975,43.8,56.675000000000004,1254.75,92.85,3.25,48.825,3
SÃO GERALDO DO ARAGUAIA,59.5,31.400000000000002,81.83333333333333,2137.6666666666665,113.46666666666665,5.0,39.0,1
SÃO JOÃO DA PONTA,72.6,31.6,96.5,1075.0,105.0,7.0,96.4,0
SÃO JOÃO DE PIRABAS,32.85,69.25,67.8,1810.5,71.3,4.5,68.7,0
SÃO JOÃO DO ARAGUAIA,83.9,85.7,96.3,1478.0,93.1,2.0,31.9,4
SÃO MIGUEL DO GUAMÁ,81.5,25.5,56.0,1715.0,42.3,0.0,5.3,3
SÃO SEBASTIÃO DA BOA VISTA,25.5,17.9,74.8,2161.0,35.0,7.0,8.049999999999999,1
TAILÂNDIA,48.9,37.4,93.8,2525.0,60.6,5.0,16.5,1
TERRA ALTA,27.5,62.6,34.0,1797.0,141.8,6.0,36.6,2
TOMÉ-AÇU,59.35,34.4,71.8,1192.5,79.5,7.0,43.349999999999994,1
TRACUATEUA,70.36,56.7,60.38000000000001,1822.0,103.62,4.6,40.14,4
TUCUMÃ,65.7,25.4,56.7,1667.0,143.4,0.0,60.5,3
TUCURUÍ,29.0,59.6,35.3,2190.0,103.8,2.0,20.3,2
ULIANÓPOLIS,50.35,63.4,43.85,2216.5,91.25,9.5,46.85,2
VIGIA,47.7,60.48,63.339999999999996,1373.8,96.3,5.8,56.0,0
VITÓRIA DO XINGU,87.9,94.1,41.4,2721.0,27.7,11.0,73.4,2
XINGUARA,71.3,13.5,82.8,2798.0,68.0,10.0,9.1,1
ÓBIDOS,13.2,59.050000000000004,66.35,733.5,83.75,9.0,85.45,0
